City,Country,Region,GDP,Population,GDP_Div_Pop
Tokyo , Japan ,East Asia ,1893,38001000,49.8144785664
New York , United States ,North America ,1717.712,18593220,92.3837829058
Los Angeles , United States ,North America ,1001,12309530,81.3191080407
London , United Kingdom ,Northern Europe ,879.5,10313307,85.27817508
Paris , France ,Western Europe ,850,10843285,78.3895286345
Chicago , United States ,North America ,651.222,8744835,74.46932961
Seoul , South Korea ,East Asia ,635.4,9773746,65.0108975617
Osaka, Japan ,East Asia ,584,20237645,28.8571125741
Sao Paulo, Brazil ,South America ,582.079,21066245,27.6308853334
Rhine-Ruhr , Germany ,Western Europe ,573.7,10356889,55.3930818415
Dallas, United States ,North America ,511.606,5702641,89.7138711695
"Washington, D.C.", United States ,North America ,509.224,4955139,102.7668446839
Houston , United States ,North America ,478.618,5638045,84.8907733088
San Francisco , United States ,North America ,470.529,3300075,142.5813049703
Shanghai , China ,East Asia ,469,23740778,19.7550391988
Beijing , China ,East Asia ,441.4,20383994,21.6542449924
Shenzhen,China,East Asia ,338,10749473,31.4434019231
